"New Feed","Новый Фид"
"Feed Information","Данные фида"
"Additional Settings JSON","Дополнительные настройки JSON"
"Export Feed Rules","Правила экспорта фида"
"Export Feed Rule","Правило экспорта фида"
"Categories Settings for Export", "Настройки категорий для экспорта"
"Categories to Export","Категории для экспорта"
"Stop Rules","Стоп Правила для добавления в экспорт"
"Stop Rule","Стоп Правило"
"Stop SKUs","Стоп SKU"
"Stop Manufacturers","Стоп Бренды"
"Out of Stock & Qty 0","Нет в наличии и количество 0"
"IMG Size Low 500", "Размер ФОТО ниже 500"
"No Images","Нет фото"
"Max Name length 150","Максимальная длина названия 150"
"UKR symbols in RU Name","Символы UKR в названии RU"
"Min Profit 150","Минимальная прибыль 150"
"Rozetka Price","Цена Розетка"
"Stop products without Rozetka Price","Стоп продукты без Розетки Цена"
"Stop products with Minimal Profit - 150","Стоп продукты с минимальной прибылью - 150"
"Stop products with Mixed RU/UKR symbols in Name","Стоп продукты со смешанными символами RU/UKR в названии"
"Stop products with Length of Name more then 150","Стоп продукты с длиной имени более 150"
"Stop products without any image","Стоп продукты без изображения"
"Stop products with Width/Height low than 500px","Стоп продукты с шириной/высотой менее 500 пикселей."
"Stop out of stock products & qty low then 1","Стоп продукты - Нет товаров на складе и количество меньше 1"
"comma delimeter","разделитель-запятая"
"JSON format","JSON формат"
"Without file type (ex. file_name)","Без типа файла (например, имя_файла)"
"Price group:","Группа Цен:"
"Export Products","Экспорт продуктов"
"Export Feed files","Экспорт файлов фидов"
"Create New","Создать новое"
"Feed","Фид"
"Feeds","Фиды"
"Export","Експорт"
"Sync Feed","Выгрузить Фид"
"Create Feed file","Создать файл фида"
